team,ofe,dfe
Duke,129.3521781,91.46808995
Houston,125.5908121,89.43507259
Auburn,130.4173826,94.67186273
Florida,125.908746,94.58268444
Alabama,128.3072146,97.53180583
Tennessee,117.8276715,90.66885791
Texas Tech,125.484773,96.7202477
Iowa St.,117.5477186,92.5007641
Gonzaga,124.3641782,98.02234782
BYU,125.3892826,98.98308905
Arizona,123.2487077,97.38191081
Michigan St.,117.1530901,92.67902676
Purdue,125.5808482,99.50013775
Maryland,117.2151806,93.05803227
Wisconsin,123.3595239,97.95691858
Kentucky,125.5624255,99.80991409
Missouri,127.6965593,101.5502955
Illinois,122.5993012,97.91997202
Louisville,118.697978,94.97554057
Kansas,116.0663579,93.02856859
Clemson,120.1249767,96.38192601
St. John's,112.8420425,90.64175526
UCLA,118.258713,95.17828056
Saint Mary's,116.6168268,93.92739271
Texas A&M,116.2419058,93.70868499
Georgia,116.1444848,96.2807949
Marquette,116.8296973,96.84990694
VCU,116.82591,97.0201726
Mississippi,118.0836227,98.2570952
Baylor,120.1994091,100.1933949
Michigan,115.2479993,96.23845
Creighton,117.3210163,98.39136131
West Virginia,110.6767837,92.93328971
Connecticut,122.0646807,102.618153
Mississippi St.,118.7341062,100.2123908
Xavier,115.6558893,97.84950844
Oregon,116.2165009,98.84226913
North Carolina,119.883205,102.0248126
Ohio St.,117.5097204,100.0423057
New Mexico,112.6371817,95.89934595
Vanderbilt,119.659353,101.8827467
Cincinnati,112.1134635,95.94720513
Boise St.,116.432874,99.77683579
Utah St.,123.168107,105.7005383
UC San Diego,114.1723362,98.04818799
Arkansas,111.838822,96.0676347
Colorado St.,116.7278243,100.5404332
Santa Clara,116.2685038,100.5267968
SMU,118.5710843,102.5318115
Oklahoma,117.5008196,101.8249328
Villanova,119.6950907,103.7937914
San Diego St.,109.5683057,95.12739711
Texas,115.9253025,100.8135373
Indiana,113.6064366,98.98026026
Northwestern,113.9215945,99.41568804
Liberty,111.2276986,97.20282156
Kansas St.,110.886968,97.01437251
Drake,113.1640616,99.09723698
Memphis,112.4891648,99.0273686
USC,116.9616356,103.6877321
San Francisco,111.4373327,98.91017479
Nebraska,112.3079428,99.93088104
McNeese St.,113.88431,101.4506798
Arizona St.,113.8170633,101.6255023
Penn St.,113.870761,101.6826665
Utah,113.1350502,101.0797249
North Texas,110.4277792,98.94902406
Rutgers,116.4333224,104.4665888
Iowa,118.8052217,106.9354842
Wake Forest,109.0056348,98.3396274
Pittsburgh,114.1512386,103.2750859
TCU,106.9971373,96.98068946
Yale,114.7786388,104.0603305
George Mason,105.0948124,95.43912543
UCF,115.2325231,104.6793079
South Carolina,110.0241228,99.95908573
Butler,116.9154062,106.2873617
Dayton,116.0030761,105.5833086
UC Irvine,106.3170408,96.7715011
Saint Joseph's,111.8163662,101.786444
Stanford,111.4502261,101.5098537
LSU,109.4831768,100.1829146
High Point,118.4115064,108.6448406
Minnesota,110.6367077,102.0870283
UNLV,108.1293108,99.85191843
Grand Canyon,106.8979134,98.71874936
St. Bonaventure,107.7985297,99.99257649
Oklahoma St.,108.192985,100.5413204
Colorado,107.8879491,100.3169261
Florida St.,108.872699,101.3186152
Oregon St.,116.5097135,108.5582177
Nevada,112.191823,104.5421942
Notre Dame,111.8455085,104.2338962
Georgetown,107.6306637,100.3834121
Arkansas St.,110.3889354,103.0613165
Virginia,112.3959691,105.3842058
Bradley,111.5201217,104.7275039
Lipscomb,111.3670727,104.6060967
Akron,113.1789681,106.3169406
Georgia Tech,107.3704774,101.1230051
Troy,107.3567205,101.2492506
Providence,112.0546303,105.7297497
New Mexico St.,104.7582984,98.88429515
Loyola Chicago,108.5256208,102.4831619
UAB,117.8414843,111.6957344
Florida Atlantic,113.0309548,107.1780785
UNC Wilmington,113.1361376,107.2778201
Saint Louis,109.2432869,103.6289968
Washington St.,113.0823047,107.2713953
North Alabama,112.7212481,107.1731763
George Washington,106.826709,101.5909829
Syracuse,112.3013134,106.9138315
St. Thomas,114.7354664,109.5140967
N.C. State,108.1446892,103.355142
Northern Iowa,109.1624101,104.420937
Middle Tennessee,109.4598465,104.7393664
Washington,109.6509536,105.1434536
Utah Valley,106.9329961,102.5561264
North Dakota St.,116.0991199,111.8207325
Northern Colorado,111.7698948,107.6599752
DePaul,109.4603971,105.5205403
Cal St. Northridge,108.9172603,105.0482353
Kent St.,106.7965964,103.0629055
California,110.1988411,106.4680268
Duquesne,107.2728923,103.6749994
Nebraska Omaha,112.8528886,109.0696845
Cornell,114.2421462,110.90383
Belmont,112.5023577,109.2410459
South Dakota St.,110.2817726,107.0863539
Illinois St.,112.7625212,109.5502457
Chattanooga,114.6556869,111.6183354
Kennesaw St.,105.5877581,102.9117661
Louisiana Tech,109.062873,106.3358832
Jacksonville St.,108.1494957,105.4709022
South Alabama,106.7256063,104.0986266
Seattle,104.4024933,101.8836899
Samford,111.0756573,108.451153
Davidson,110.1027149,107.8024311
Virginia Tech,107.5987849,105.6662979
Wofford,112.1983444,110.2047865
Furman,109.9170627,107.9677823
UTEP,106.0855256,104.3178253
Tulane,107.9450617,106.2550305
UC Riverside,110.488854,108.9239434
Montana,111.4475762,110.1031806
Wichita St.,106.0805461,104.8090415
Rhode Island,108.6436847,107.5393676
Loyola Marymount,104.6462168,103.6228141
Texas A&M Corpus Chris,106.4836414,105.4501619
UC Santa Barbara,110.046093,109.0145979
Miami OH,108.1634978,107.258215
Sam Houston St.,111.298261,110.4530766
Robert Morris,105.6782406,104.9789141
Cal Baptist,106.1081492,105.5034338
Temple,111.4189183,110.8880242
Radford,110.3916785,109.9157016
Charleston,106.0297475,105.8292187
Western Kentucky,104.2315803,104.0703766
James Madison,110.5672081,110.4236899
San Jose St.,108.3917428,108.321803
Appalachian St.,101.3075041,101.3432375
Bryant,106.2854231,106.4426622
Milwaukee,106.7259505,106.8859543
Florida Gulf Coast,108.1651144,108.4578887
Dartmouth,101.4859708,101.9023952
Murray St.,105.267975,105.7170824
East Tennessee St.,105.5605407,106.0175413
Towson,106.7539826,107.2664137
Nicholls St.,106.9102206,107.4504095
UNC Greensboro,106.1159407,106.7223334
Winthrop,108.0872601,108.8434463
Marshall,106.3037452,107.0962997
Cleveland St.,103.3754462,104.2358088
Lamar,103.1406442,104.2013366
Montana St.,106.3909846,107.5080276
Purdue Fort Wayne,108.2935067,109.5261917
Boston College,105.6049446,106.8866447
Rice,107.5513483,108.8683773
Eastern Kentucky,109.9880198,111.4181817
Southern Illinois,106.813412,108.2267816
Ohio,107.4463818,108.9003974
UTSA,108.0921909,109.6577622
East Carolina,107.1199178,108.7375642
Central Connecticut,101.450883,103.048203
Wyoming,104.199996,105.9568576
Drexel,104.3130741,106.073808
Portland St.,101.3649565,103.1885073
South Carolina St.,103.5526865,105.505174
Norfolk St.,108.6427824,110.7468208
Illinois Chicago,106.3312699,108.4921791
Jacksonville,102.0087329,104.1353394
Queens,106.6542144,109.0026317
Miami FL,112.7912426,115.3116246
Cal Poly,107.5983441,110.0396409
Oakland,107.0938025,109.5279634
Merrimack,99.83601527,102.3127536
Northeastern,104.64505,107.3415443
Southeast Missouri St.,102.2073611,105.0250707
South Florida,103.1193561,105.9662034
Brown,103.1120063,106.1205296
Abilene Christian,98.95712798,101.9752975
Pepperdine,106.7726903,110.0481875
Quinnipiac,101.1566236,104.500446
Massachusetts,102.4458694,105.8841163
Hampton,103.977148,107.6341235
Youngstown St.,102.3131911,105.9743981
Princeton,104.4803566,108.2412167
Indiana St.,108.7382788,112.6528202
Idaho St.,106.4355354,110.4311531
Southern,99.6513107,103.3956325
Southeastern Louisiana,104.6861932,108.6453096
Bucknell,104.1184755,108.0615375
Texas St.,108.7893879,113.0156065
Missouri St.,102.3284463,106.3371133
Vermont,101.4263277,105.4858713
SIU Edwardsville,102.0291881,106.1611978
Campbell,102.0022597,106.1734612
William & Mary,107.1368709,111.590016
La Salle,103.4346825,107.7445552
Wright St.,109.2634074,113.8851572
Seton Hall,98.63746173,102.8339152
Valparaiso,105.7810308,110.424279
Central Michigan,105.3215709,109.9776749
Hofstra,98.46099641,102.9002874
Northwestern St.,102.2178068,106.8709141
UNC Asheville,107.8378003,112.7695299
Elon,106.7389883,111.6707583
Tennessee St.,103.6450331,108.5686845
Richmond,104.2084925,109.1809927
Longwood,105.7121489,110.8586708
UMKC,101.0163205,106.0849422
Maine,100.9085511,105.9989269
Delaware,109.7365224,115.3039939
Hawaii,102.776055,108.0047493
UT Rio Grande Valley,104.976866,110.4712629
UT Arlington,106.6041435,112.3041611
Fordham,105.214991,110.8445689
Harvard,102.6839995,108.346573
South Dakota,108.9370708,114.9711867
Idaho,109.659061,116.0432273
UC Davis,97.7419378,103.5847601
North Dakota,108.4981328,115.0760454
Incarnate Word,105.7281901,112.2451294
Tulsa,102.1850068,108.5025139
Sacred Heart,107.2707137,113.9832551
Georgia St.,107.835323,114.6121152
Georgia Southern,103.6460385,110.1673973
Northern Arizona,104.2104604,110.8735036
Manhattan,108.1368567,115.0677975
Iona,99.45063162,105.9004248
Little Rock,98.75761871,105.2577978
American,101.9076215,108.6595752
Northern Kentucky,103.179746,110.0718346
Portland,106.7859286,114.0755632
Toledo,110.9516695,118.7059956
Presbyterian,103.9490313,111.2252598
Cal St. Bakersfield,106.3216762,113.852363
Fresno St.,100.9691578,108.1258676
Monmouth,104.495387,112.0503934
Evansville,98.7143654,105.9863832
UMass Lowell,107.608709,115.9323143
Houston Christian,101.0885372,109.0688465
Gardner Webb,103.0581758,111.2125366
Siena,102.1895689,110.2771261
Charlotte,105.4956751,114.0127428
North Florida,108.7074371,117.4967455
Colgate,104.8319809,113.4204842
FIU,97.35782662,105.3598182
Jackson St.,100.80015,109.1765253
Bowling Green,100.3984664,108.9435407
Ball St.,104.2899186,113.2058106
Eastern Michigan,104.8294603,113.8761222
Mount St. Mary's,100.8019975,109.5475017
Denver,100.4009436,109.2041059
Albany,103.3798269,112.5355228
Navy,102.4874512,111.5985049
Mercer,98.97219983,107.863018
Marist,97.69302971,106.5307576
Texas Southern,95.86694679,104.6554097
LIU,95.2568342,104.0552219
Alabama St.,101.0850826,110.4516284
Eastern Washington,102.2441104,111.7964311
Western Michigan,102.6205516,112.3637856
Pacific,101.2103377,110.9399218
Austin Peay,102.700244,112.7536463
Tennessee Martin,102.8930482,113.1886067
Stephen F. Austin,95.908842,105.5670791
Tarleton St.,94.32920895,103.829232
Tennessee Tech,101.8513542,112.3297162
Bethune Cookman,98.87745606,109.5774118
Weber St.,101.4591953,112.4589206
San Diego,100.7927676,111.7384113
Saint Peter's,95.40374839,105.8099023
Lafayette,98.46509516,109.211845
Old Dominion,100.1277129,111.1504055
Air Force,99.15969581,110.3426985
Lehigh,100.1292068,111.5715781
Columbia,105.0904235,117.1016603
Howard,103.9522319,116.0206634
Oral Roberts,104.4653406,116.5933702
Rider,101.6917034,113.6190438
Penn,103.8517561,116.1289665
Utah Tech,103.1125893,115.3823851
Fairleigh Dickinson,98.2120973,109.9329869
Saint Francis,101.7735864,114.2520001
Southern Miss,97.03546553,109.0105859
Louisiana,98.03593396,110.2155012
Charleston Southern,99.59283093,112.027408
Army,101.0354969,113.7252433
North Carolina Central,103.0573411,116.07917
Delaware St.,101.1972612,114.0042222
VMI,99.21969122,111.8567031
Loyola MD,100.4525823,113.2472004
Long Beach St.,101.404601,114.477605
Boston University,98.76550004,111.5919983
Binghamton,99.59552127,112.6053776
IU Indy,109.7525162,124.1247516
Eastern Illinois,94.04491663,106.3921817
UMBC,105.3827614,119.3691893
Alcorn St.,98.38248059,111.4988046
Florida A&M,102.1135112,115.7370575
Morehead St.,98.78135578,112.0082862
Lindenwood,95.201496,108.1689102
Southern Utah,96.8292413,110.1834698
Coastal Carolina,101.4639672,115.6232507
Niagara,101.417322,115.5812435
Grambling St.,96.22695606,110.0716523
Stonehill,100.6656844,115.2935791
Holy Cross,101.3643582,116.1734331
Stony Brook,102.3082148,117.7352192
Green Bay,101.0422892,116.4591334
Fairfield,99.10765235,114.3312161
Mercyhurst,100.541299,116.0332257
Texas A&M Commerce,96.71617776,111.6438017
USC Upstate,99.8005672,115.4904437
Southern Indiana,99.38439023,115.269811
North Carolina A&T,97.32430657,113.2059253
Bellarmine,104.0552143,121.0672007
Morgan St.,102.2066322,119.2466386
Wagner,93.74035605,109.4083684
Western Illinois,99.75638569,117.2679422
Western Carolina,96.05532606,112.9572437
West Georgia,97.77974154,115.0220412
Louisiana Monroe,97.27617038,115.0005627
Buffalo,96.07739217,113.6809212
Le Moyne,103.2790252,122.3309847
Detroit Mercy,95.20070335,112.7842078
Northern Illinois,94.76424808,112.7348211
New Orleans,99.49561255,118.4986702
Sacramento St.,95.96711694,114.3055027
Central Arkansas,98.15490729,117.1167847
Stetson,99.98935439,119.4902237
NJIT,94.61153145,113.772569
Cal St. Fullerton,92.85930007,112.6612486
Canisius,99.90640634,121.4181857
New Hampshire,94.44981156,115.2877528
Prairie View A&M,96.70110808,118.3838276
Alabama A&M,93.38113998,115.1483799
Chicago St.,93.02288155,116.2187882
The Citadel,94.26345324,117.9175429
Maryland Eastern Shore,95.01299342,118.9451878
Arkansas Pine Bluff,95.6678003,122.1888613
Coppin St.,88.21375655,113.5943378
Mississippi Valley St.,83.54485842,125.5529897
